STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/5/1943,,,0,"T,,6,",0,",,6,",,,64,",,6",23,",,6",52,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/6/1943,,,0,",,6,",0,",,6,",,,61,",,6",32,",,6",32,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/7/1943,,,0,",,6,",0,",,6,",,,54,",,6",31,",,6",34,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/8/1943,,,0,"T,,6,",0,",,6,",,,67,",,6",34,",,6",46,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/9/1943,,,0,",,6,",0,",,6,",,,77,",,6",45,",,6",47,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/10/1943,,,0.39,",,6,",0,",,6,",,,78,",,6",40,",,6",54,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/11/1943,,,0.15,",,6,",0,",,6,",,,62,",,6",30,",,6",31,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/12/1943,,,0.23,",,6,",0,",,6,",,,66,",,6",30,",,6",44,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/13/1943,,,0.17,",,6,",0,",,6,",,,69,",,6",41,",,6",42,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/14/1943,,,0.19,",,6,",0.2,",,6,",0,"T,,6,",64,",,6",30,",,6",30,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/15/1943,,,0.04,",,6,",0.2,",,6,",0,"T,,6,",41,",,6",26,",,6",26,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/16/1943,,,0.01,",,6,",0,",,6,",0,",,6,",41,",,6",26,",,6",27,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/17/1943,,,0.02,",,6,",0,",,6,",,,67,",,6",27,",,6",48,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/18/1943,,,0.03,",,6,",0,",,6,",,,62,",,6",44,",,6",45,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/19/1943,,,0.73,",,6,",0,",,6,",,,57,",,6",45,",,6",47,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/20/1943,,,0.26,",,6,",0,",,6,",,,52,",,6",36,",,6",36,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/21/1943,,,0.02,",,6,",0,",,6,",,,63,",,6",36,",,6",39,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/22/1943,,,0,"T,,6,",0,",,6,",,,50,",,6",35,",,6",40,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/23/1943,,,0,",,6,",0,",,6,",,,59,",,6",32,",,6",33,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/24/1943,,,0,",,6,",0,",,6,",,,67,",,6",33,",,6",47,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/25/1943,,,0,",,6,",0,",,6,",,,72,",,6",44,",,6",45,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/26/1943,,,0,",,6,",0,",,6,",,,83,",,6",42,",,6",52,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/27/1943,,,0,",,6,",0,",,6,",,,79,",,6",50,",,6",50,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/28/1943,,,0,"T,,6,",0,",,6,",,,78,",,6",50,",,6",58,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/29/1943,,,0,",,6,",0,",,6,",,,81,",,6",40,",,6",41,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,4/30/1943,,,0,",,6,",0,",,6,",,,83,",,6",41,",,6",49,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/1/1943,,,0,",,6,",,,,,84,",,6",38,",,6",38,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/2/1943,,,0,",,6,",,,,,60,",,6",30,",,6",32,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/3/1943,,,0,",,6,",,,,,73,",,6",31,",,6",66,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/4/1943,,,0,",,6,",,,,,80,",,6",42,",,6",43,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/5/1943,,,0,",,6,",,,,,66,",,6",39,",,6",43,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/6/1943,,,0,",,6,",,,,,84,",,6",43,",,6",46,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/7/1943,,,0,"T,,6,",,,,,92,",,6",46,",,6",56,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/8/1943,,,0,",,6,",,,,,91,",,6",53,",,6",54,",,6,"
USC00460939,"BLUESTONE LAKE, WV US",37.64199,-80.88278,424.6,5/9/1943,,,0.05,",,6,",,,,,89,",,6",54,",,6",58,",,6,"
