"","Location","State","Longitude","Latitude","CountyFP","StateFP"
"Pulaski","Pulaski","VA","-80.769043","37.059166","155","51"
"Williamsburg","Williamsburg","WV","-80.49197","37.969785","25","54"
"Nelsonville","Nelsonville","OH","-82.229056","39.456255","9","39"
"Parkersburg","Parkersburg","WV","-81.44379","39.33948","107","54"
"Charleston","Charleston","WV","-81.59112","38.3795","39","54"
"BluestoneLake","BluestoneLake","WV","-80.88278","37.64199","89","54"
